x,y
5136.7778,-2354.5643
5100.0101,-2369.83
5088.703,-2407.2113
5102.674,-2444.7082
5076.7183,-2473.2619
5039.9498,-2489.0277
5002.8492,-2503.9542
4965.8462,-2519.1607
4928.9158,-2534.5225
4892.0179,-2549.9775
4855.0467,-2565.2149
4816.9437,-2576.6238
4777.551,-2570.111
4739.5967,-2560.8591
4700.6242,-2569.8737
4661.6183,-2578.7324
4622.5794,-2587.4666
4583.5153,-2596.0761
4544.426,-2604.561
4505.2785,-2612.7967
4466.1554,-2621.0945
4428.302,-2632.4687
4396.583,-2656.7587
4367.6609,-2684.3851
4338.4693,-2711.7339
4309.3333,-2739.1445
4279.5779,-2765.8449
4248.8221,-2791.4028
4217.61,-2815.6233
4179.7072,-2827.9358
4140.1447,-2833.8645
4100.5475,-2839.5437
4060.9498,-2845.1917
4021.3352,-2850.7461
3981.7292,-2856.3629
3942.1745,-2862.2915
3908.997,-2872.7878
3905.644,-2911.8394
3940.6773,-2920.0694
3980.2695,-2925.7666
4019.8617,-2931.4639
4059.4609,-2937.0985
4098.2623,-2942.6818
4137.8623,-2948.3789
4177.3678,-2954.5775
4215.4636,-2966.1401
4247.5137,-2989.0074
4276.8347,-3016.1946
4306.1948,-3043.3812
4335.5622,-3070.5365
4366.5361,-3095.7941
4402.9879,-3110.4738
4442.5915,-3113.6394
4482.5899,-3113.7366
4522.5934,-3113.6463
4561.3168,-3105.2603
4593.4729,-3082.6206
4621.9197,-3054.5322
4649.8591,-3025.9195
4677.8141,-2997.3066
4705.8564,-2968.7863
4733.8193,-2940.1733
4761.7904,-2911.5914
4789.6343,-2882.8551
4817.4943,-2854.1497
4847.6156,-2827.9131
4849.1039,-2848.301
4833.7628,-2881.0506
4842.4024,-2920.0283
4840.2167,-2958.751
4823.1183,-2994.9006
4804.9974,-3030.5644
4786.9628,-3066.2582
4768.7629,-3101.8606
4746.2218,-3134.3358
4716.2763,-3160.8512
4699.4917,-3191.4957
4717.0377,-3225.9421
4744.2396,-3255.2529
4774.6572,-3280.9559
4806.4295,-3305.2023
4834.5536,-3333.4063
4856.7523,-3366.4438
4867.8507,-3404.1369
4875.8666,-3443.217
4886.4924,-3481.7606
4894.119,-3520.9399
4898.6048,-3560.6945
4916.3867,-3594.1374
4942.4152,-3624.4648
4945.3374,-3660.8032
4923.0433,-3692.4935
4906.0424,-3727.7978
4919.985,-3762.7008
4951.5476,-3786.4813
4986.708,-3805.4922
5024.2094,-3819.251
5060.9198,-3835.1149
5086.157,-3865.297
5107.2278,-3899.2565
5126.5944,-3934.2713
5152.6748,-3964.4104
5185.0207,-3987.7736
5218.0813,-4010.2831
5251.1267,-4032.8239
5284.2103,-4055.3018
5317.3017,-4077.7795
5350.4235,-4100.1944
